source_string,target_string,license,latin,arabic
Downloading…,ⴰⴳⴰⵎ…,Apache-2.0,agam…,اڭام…
Downloading language data…,ⴰⴳⴰⵎ ⵏ ⵜⵎⵓⵛⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ…,Apache-2.0,agam n tmusha n tutlayt…,اڭام ن تموشا ن توتلايت…
Show last result,ⵥⵕ ⵜⴰⵢⴰⴼⵓⵜ ⵜⴰⵎⴳⴳⴰⵔⵓⵜ,Apache-2.0,ẓṛ tayafut tamggarut,زّر تايافوت تامڭڭاروت
Text goes here,ⴷⴰ ⴰⴹⵕⵉⵚ,Apache-2.0,da aḍṛiṣ,دا اضريص
Copied to clipboard,ⵉⵜⵜⵓⵃⴹⵓ ⴳ ⵜⵣⵣⵏⴱⵉⵍⵜ,Apache-2.0,ittuḥḍu g tzznbilt,يتتوحضو ڭ تززنبيلت
Copy to clipboard,ⵉⵜⵜⵓⵙⵙⵏⵖⵍ ⴳ ⵜⵣⵣⵏⴱⵉⵍⵜ,Apache-2.0,ittussnghl g tzznbilt,يتتوسسنغل ڭ تززنبيلت
Share,ⴱⴹⵓ,Apache-2.0,bḍu,بضو
Save image and text after the app closes,ⵃⴹⵓ ⵜⴰⵡⵍⴰⴼⵜ ⴷ ⵓⴹⵕⵉⵚ ⴷⴼⴼⵉⵔ ⵏ ⵡⵓⴼⵓⵖ ⵙⴳ ⵜⵙⵏⵙⵉ,Apache-2.0,ḥḍu tawlaft d uḍṛiṣ dffir n wufugh sg tsnsi,حضو تاولافت د وضريص دففير ن ووفوغ سڭ تسنسي
Save data,ⵃⴹⵓ ⵜⵉⵎⵓⵛⴰ,Apache-2.0,ḥḍu timusha,حضو تيموشا
'% of total:','% ⵙⴳ ⵜⵎⵓⵜⵜⵔⵜ:',Apache-2.0,'% sg tmuttrt:','% سڭ تموتترت:'
You are not connected to internet,ⵓⵔ ⵜⵎⵢⴰⵡⴰⴹⴷ ⴷ ⵡⴰⵏⵜⵉⵔⵏⵉⵜ,Apache-2.0,ur tmyawaḍd d wantirnit,ور تمياواضد د وانتيرنيت
Yes,ⵡⴰⵀ,Apache-2.0,wah,واه
No,ⵓⵀⵓ,Apache-2.0,uhu,وهو
Training data missing!,ⵓⵔ ⵍⵍⵉⵏⵜ ⵜⵎⵓⵛⴰ ⵏ ⵓⵙⴰⵏⵓⵏ!,Apache-2.0,ur llint tmusha n usanun!,ور للينت تموشا ن وسانون!
Refresh,ⵣⵣⵓⵣⵡⵓ,Apache-2.0,zzuzwu,ززوزوو
Tesseract Data,ⵜⵉⵎⵓⵛⴰ ⵏ Tesseract,Apache-2.0,timusha n Tesseract,تيموشا ن Tesseract
Select Tesseract Data type,ⵙⵜⵉ ⴰⵏⴰⵡ ⵏ ⵜⵎⵓⵛⴰ ⵏ Tesseract,Apache-2.0,sti anaw n tmusha n Tesseract,ستي اناو ن تموشا ن Tesseract
Other Settings,ⵜⵉⵙⵖⴰⵍ ⵢⴰⴹⵏ,Apache-2.0,tisghal yaḍn,تيسغال ياضن
Source code,ⵉⵏⵉⴳ ⵏ ⵓⵙⴰⴳⵎ,Apache-2.0,inig n usagm,ينيڭ ن وساڭم
Image Enhancement,ⴰⵙⵖⵓⴷⵓ ⵏ ⵜⵡⵍⴰⴼⵜ,Apache-2.0,asghudu n twlaft,اسغودو ن تولافت
Languages,ⵜⵓⵜⵍⴰⵢⵉⵏ,Apache-2.0,tutlayin,توتلايين
Select Multiple languages for Tesseract,ⵙⵜⵉ ⵎⵏⵏⴰⵡ ⵏ ⵜⵓⵜⵍⴰⵢⵉⵏ ⵉ Tesseract,Apache-2.0,sti mnnaw n tutlayin i Tesseract,ستي منناو ن توتلايين ي Tesseract
Training data in multiple languages,ⵜⵉⵎⵓⵛⴰ ⵏ ⵓⵙⴰⵏⵓⵏ ⵙ ⵎⵏⵏⴰⵡ ⵏ ⵜⵓⵜⵍⴰⵢⵉⵏ,Apache-2.0,timusha n usanun s mnnaw n tutlayin,تيموشا ن وسانون س منناو ن توتلايين
Select Multiple languages,ⵙⵜⵉ ⵎⵏⵏⴰⵡ ⵏ ⵜⵓⵜⵍⴰⵢⵉⵏ,Apache-2.0,sti mnnaw n tutlayin,ستي منناو ن توتلايين
Image processing functions,ⵜⵉⵙⵖⴰⵏ ⵏ ⵓⵙⵎⴽⵍ ⵏ ⵜⵡⵍⴰⴼⵜ,Apache-2.0,tisghan n usmkl n twlaft,تيسغان ن وسمكل ن تولافت
Advance Tesseract Settings,ⵜⵉⵙⵖⴰⵍ ⵢⵓⵍⵉⵏ ⵏ Tesseract,Apache-2.0,tisghal yulin n Tesseract,تيسغال يولين ن Tesseract
Selected Language:,ⵜⴻⵜⵜⵓⵙⵜⴰⵢ ⵜⵓⵜⵍⴰⵢⵜ:,Apache-2.0,tettustay tutlayt:,ت°تتوستاي توتلايت:
Which language is used in the image?,ⵎⴰⵜⵜⴰ ⵜⵓⵜⵍⴰⵢⵜ ⵏ ⵜⵡⵍⴰⴼⵜ ⴰⴷ?,Apache-2.0,matta tutlayt n twlaft ad?,ماتتا توتلايت ن تولافت اد?
Language Name,ⵉⵙⵎ ⵏ ⵜⵓⵜⵍⴰⵢⵜ,Apache-2.0,ism n tutlayt,يسم ن توتلايت
Select or Search Languages,ⵙⵜⵉ ⵏⵉⵖ ⵔⵣⵓ ⵅⴼ ⵜⵓⵜⵍⴰⵢⵉⵏ,Apache-2.0,sti nigh rzu khf tutlayin,ستي نيغ رزو خف توتلايين
Current window,ⴰⵙⵕⵥⵎ ⵏ ⴷⵖⵉ,GPL-2.0-or-later,asṛẓm n dghi,اسرزّم ن دغي
Existing windows,ⵉⵙⵕⵥⴰⵎ ⵉⵍⵍⴰⵏ,GPL-2.0-or-later,isṛẓam illan,يسرزّام يللان
Default windows,ⵉⵙⵕⵥⴰⵎ ⵉⵎⵔⴷⴰ,GPL-2.0-or-later,isṛẓam imrda,يسرزّام يمردا
Separator,ⵉⵏⴱⴹⵉ,GPL-2.0-or-later,inbḍi,ينبضي
Window's name,ⵉⵙⵎ ⵏ ⵓⵙⵕⵥⵎ,GPL-2.0-or-later,ism n usṛẓm,يسم ن وسرزّم
Current profile,ⴰⵙⴷⴰⵡ ⴰⵏⵉⵎⴰⵏ ⵉⵍⵍⴰⵏ ⴷⵖⵉ,GPL-2.0-or-later,asdaw animan illan dghi,اسداو انيمان يللان دغي
Profile's name,ⵉⵙⵎ ⵏ ⵓⵙⴷⴰⵡ ⴰⵏⵉⵎⴰⵏ,GPL-2.0-or-later,ism n usdaw animan,يسم ن وسداو انيمان
Title pattern,ⴰⵙⵔⵜⵓ ⵏ ⵓⵣⵡⵍ,GPL-2.0-or-later,asrtu n uzwl,اسرتو ن وزول
Preview,ⴰⵣⵣⵔⴰⵢ,GPL-2.0-or-later,azzray,اززراي
Use current pattern as default,ⵔⴰⵔ ⴰⵙⵔⵜⵓ ⵏ ⴷⵖⵉ ⴷ ⴰⵎⵔⴷⵓ,GPL-2.0-or-later,rar asrtu n dghi d amrdu,رار اسرتو ن دغي د امردو
Apply current pattern to open windows,ⵜⵉⵙⵏⵙⵉ ⵏ ⵓⵙⵔⵜⵓ ⵏ ⴷⵖⵉ ⵅⴼ ⵓⵕⵥⵥⵓⵎ ⵏ ⵉⵙⵕⵥⴰⵎ,GPL-2.0-or-later,tisnsi n usrtu n dghi khf uṛẓẓum n isṛẓam,تيسنسي ن وسرتو ن دغي خف ورزّزّوم ن يسرزّام
Apply default pattern to open windows,ⵜⵉⵙⵏⵙⵉ ⵏ ⵓⵙⵔⵜⵓ ⴰⵎⵔⴷⵓ ⵅⴼ ⵓⵕⵥⵥⵓⵎ ⵏ ⵉⵙⵕⵥⴰⵎ,GPL-2.0-or-later,tisnsi n usrtu amrdu khf uṛẓẓum n isṛẓam,تيسنسي ن وسرتو امردو خف ورزّزّوم ن يسرزّام
More info,ⵓⴳⴰⵔ ⵏ ⵡⵓⵎⵍⴰⵏ,GPL-2.0-or-later,ugar n wumlan,وڭار ن ووملان
Afar,ⵜⴰⴼⴰⵔⵉⵜ,GPL-3.0-or-later,tafarit,تافاريت
Abkhazian,ⵜⴰⴱⵅⴰⵣⵉⵜ,GPL-3.0-or-later,tabkhazit,تابخازيت
Acehnese,ⵜⴰⵛⵉⵏⵉⵜ,GPL-3.0-or-later,tashinit,تاشينيت
Acholi,ⵜⴰⵛⵓⵍⵉⵜ,GPL-3.0-or-later,tashulit,تاشوليت
Adangme,ⵜⴰⵏⴷⴰⴳⵎⵉⵜ,GPL-3.0-or-later,tandagmit,تانداڭميت
Adyghe,ⵜⴰⴷⵉⵢⵖⵜ,GPL-3.0-or-later,tadiyght,تادييغت
Avestan,ⵜⴰⴼⵉⵙⵜⴰⵏⵉⵜ,GPL-3.0-or-later,tafistanit,تافيستانيت
Afrikaans,ⵜⴰⴼⵔⵉⵇⴰⵏⵉⵜ,GPL-3.0-or-later,tafriqanit,تافريقانيت
Afrihili,ⵜⴰⴼⵔⵉⵀⵉⵍⵉⵜ,GPL-3.0-or-later,tafrihilit,تافريهيليت
Assyrian Neo-Aramaic,ⵜⴰⵛⵓⵔⵉⵜ ⵜⴰⵕⴰⵎⵉⵢⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ,GPL-3.0-or-later,tashurit taṛamiyt tamaynut,تاشوريت تارامييت تاماينوت
Ainu (Japan),ⵜⴰⵢⵏⵓⵜ (ⵊⴰⴱⴱⵓⵏ),GPL-3.0-or-later,taynut (jabbun),تاينوت (جاببون)
Akan,ⵜⴰⴽⴰⵏⵉⵢⵜ,GPL-3.0-or-later,takaniyt,تاكانييت
Akkadian,ⵜⴰⴽⴰⴷⵉⵜ,GPL-3.0-or-later,takadit,تاكاديت
Aleut,ⵜⴰⵍⵢⵓⵜⵉⵜ,GPL-3.0-or-later,talyutit,تاليوتيت
Altai (Southern),ⵜⴰⵍⵟⴰⵢⵜ (ⵉⴼⴼⵓⵙ),GPL-3.0-or-later,talṭayt (iffus),تالطايت (يففوس)
Amharic,ⵜⴰⵎⵀⴰⵔⵉⵢⵜ,GPL-3.0-or-later,tamhariyt,تامهارييت
Aragonese,ⵜⴰⵕⴰⴳⵓⵏⵉⵜ,GPL-3.0-or-later,taṛagunit,تاراڭونيت
English (Old),ⵜⵉⵏⴳⵍⵉⵣⵉⵜ (ⵜⴰⵣⴰⵢⴽⵓⵜ),GPL-3.0-or-later,tinglizit (tazaykut),تينڭليزيت (تازايكوت)
Angika,ⴰⵏⵊⵉⴽⴰ,GPL-3.0-or-later,anjika,انجيكا
Arabic (Levantine),ⵜⴰⵄⵕⴰⴱⵜ (ⵍⴱⵃⵕⴰⵢⵏ),GPL-3.0-or-later,ta3ṛabt (lbḥṛayn),تاعرابت (لبحراين)
Arabic,ⵜⴰⵚⵕⵖⵉⵏⵜ,GPL-3.0-or-later,taṣṛghint,تاصرغينت
Arabic (Bahrain),ⵜⴰⵚⵕⵖⵉⵏⵜ(ⴱⴰⵃⵕⴰⵢⵏ),GPL-3.0-or-later,taṣṛghint(baḥṛayn),تاصرغينت(باحراين)
Arabic (Algeria),ⵜⴰⵚⵕⵖⵉⵏⵜ(ⴷⵣⴰⵢⵔ),GPL-3.0-or-later,taṣṛghint(dzayr),تاصرغينت(دزاير)
Arabic (Egypt),ⵜⴰⵚⵕⵖⵉⵏⵜ(ⵎⵉⵚⵕⴰ),GPL-3.0-or-later,taṣṛghint(miṣṛa),تاصرغينت(ميصرا)
Arabic (Kuwait),ⵜⴰⵚⵕⵖⵉⵏⵜ(ⴽⵓⵡⴰⵢⵜ),GPL-3.0-or-later,taṣṛghint(kuwayt),تاصرغينت(كووايت)
Arabic (Libya),ⵜⴰⵚⵕⵖⵉⵏⵜ(ⵍⵢⴱⵢⴰ),GPL-3.0-or-later,taṣṛghint(lybya),تاصرغينت(ليبيا)
Arabic (Morocco),ⵜⴰⵚⵕⵖⵉⵏⵜ(ⴰⵎⵕⵕⵓⴽ),GPL-3.0-or-later,taṣṛghint(amṛṛuk),تاصرغينت(امرروك)
Arabic (Saudi Arabia),ⵜⴰⵚⵕⵖⵉⵏⵜ(ⵙⴰⵄⵓⴷⵢⴰ),GPL-3.0-or-later,taṣṛghint(sa3udya),تاصرغينت(ساعوديا)
Arabic (XB pseudolocale),ⵜⴰⵄⵕⴰⴱⵜ (XB pseudolocale),GPL-3.0-or-later,ta3ṛabt (XB pseudolocale),تاعرابت (XB pseudolocale)
Arabic (Yemen),ⵜⴰⵄⵕⴰⴱⵜ (ⵢⴰⵎⴰⵏ),GPL-3.0-or-later,ta3ṛabt (yaman),تاعرابت (يامان)
Aramaic,ⵜⴰⵕⴰⵎⵉⵢⵜ,GPL-3.0-or-later,taṛamiyt,تارامييت
Mapudungun,ⵜⴰⵎⴰⴱⴱⵓⴷⵓⵏⴳⵓⵏⵜ,GPL-3.0-or-later,tamabbudungunt,تاماببودونڭونت
Arapaho,ⵜⴰⵕⴰⴱⴱⴰⵀⵓⵜ,GPL-3.0-or-later,taṛabbahut,تارابباهوت
Arabic (Najdi),ⵜⴰⵄⵕⴰⴱⵜ (ⵏⴰⵊⴷⵉ),GPL-3.0-or-later,ta3ṛabt (najdi),تاعرابت (ناجدي)
Arawak,ⵜⴰⵕⴰⵡⴰⴽⵜ,GPL-3.0-or-later,taṛawakt,تاراواكت
Assamese,ⵜⴰⵙⵙⴰⵎⵙⵜ,GPL-3.0-or-later,tassamst,تاسسامست
Asu,ⵜⴰⵚⵓⵜ,GPL-3.0-or-later,taṣut,تاصوت
Asturian,ⵜⴰⵙⵜⵓⵔⵉⵜ,GPL-3.0-or-later,tasturit,تاستوريت
Avaric,ⵜⴰⴼⴰⵔⵉⴽⵜ,GPL-3.0-or-later,tafarikt,تافاريكت
Kotava,ⵜⴰⴽⵓⵜⴰⴼⴰⵢⵜ,GPL-3.0-or-later,takutafayt,تاكوتافايت
Awadhi,ⵜⴰⵡⴰⴷⵉⵜ,GPL-3.0-or-later,tawadit,تاواديت
Aymara,ⵜⴰⵢⵎⴰⵔⵉⵜ,GPL-3.0-or-later,taymarit,تايماريت
Aymara (Southern),ⵜⴰⵢⵎⴰⵔⴰⵜ (ⵉⴼⴼⵓⵙ),GPL-3.0-or-later,taymarat (iffus),تايمارات (يففوس)
Azerbaijani,ⵜⴰⵣⵔⵉⴱⵉⴷⵊⴰⵏⵉⵜ,GPL-3.0-or-later,tazribidjanit,تازريبيدجانيت
Azerbaijani (Southern),ⵜⴰⵣⵔⵉⴱⵉⴷⵊⴰⵏⵉⵜ (ⵉⴼⴼⵓⵙ),GPL-3.0-or-later,tazribidjanit (iffus),تازريبيدجانيت (يففوس)
Bashkir,ⵜⴰⴱⴰⵛⴽⵉⵔⵜ,GPL-3.0-or-later,tabashkirt,تاباشكيرت
Baluchi,ⵜⴰⴱⴰⵍⵓⵛⵉⵜ,GPL-3.0-or-later,tabalushit,تابالوشيت
Balinese,ⵜⴰⴱⴰⵍⵉⵏⵙⵉⵜ,GPL-3.0-or-later,tabalinsit,تابالينسيت
Bavarian,ⵜⴰⴱⴰⴼⴰⵔⵢⴰⵏⵉⵜ,GPL-3.0-or-later,tabafaryanit,تابافاريانيت
Basa (Cameroon),ⴱⴰⵚⴰ (ⴽⴰⵎⵉⵕⵓⵏ),GPL-3.0-or-later,baṣa (kamiṛun),باصا (كاميرون)
Belarusian,ⵜⴰⴱⵉⵍⴰⵔⵓⵙⵉⵜ,GPL-3.0-or-later,tabilarusit,تابيلاروسيت
Belarusian (latin),ⵜⴰⴱⵉⵍⴰⵔⵓⵙⵉⵜ (ⵜⴰⵍⴰⵜⵉⵏⵉⵜ),GPL-3.0-or-later,tabilarusit (talatinit),تابيلاروسيت (تالاتينيت)
Beja,ⵜⴰⴱⵉⵊⴰⵢⵜ,GPL-3.0-or-later,tabijayt,تابيجايت
Bemba,ⵜⴰⴱⵉⵎⴱⴰⵢⵜ,GPL-3.0-or-later,tabimbayt,تابيمبايت
Berber,ⵜⴰⵎⴰⵣⵉⵖⵜ,GPL-3.0-or-later,tamazight,تامازيغت
Bena,ⵜⴰⴱⵉⵏⴰⵢⵜ,GPL-3.0-or-later,tabinayt,تابينايت
Bulgarian,ⵜⴰⴱⵓⵍⴳⴰⵔⵉⵜ,GPL-3.0-or-later,tabulgarit,تابولڭاريت
Bihari,ⵜⴰⴱⵉⵀⴰⵔⵉⵜ,GPL-3.0-or-later,tabiharit,تابيهاريت
Bhojpuri,ⵜⴰⴱⵀⵓⵊⴱⴱⵓⵔⵉⵜ,GPL-3.0-or-later,tabhujbburit,تابهوجببوريت
Bislama,ⵜⴰⴱⵉⵙⵍⴰⵎⴰⵢⵜ,GPL-3.0-or-later,tabislamayt,تابيسلامايت
Bikol,ⵜⴰⴱⵉⴽⵓⵍⵜ,GPL-3.0-or-later,tabikult,تابيكولت
Bini,ⵜⴰⴱⵉⵏⵉⵜ,GPL-3.0-or-later,tabinit,تابينيت
Siksika,ⵜⴰⵙⵉⴽⵙⵉⴽⵉⵜ,GPL-3.0-or-later,tasiksikit,تاسيكسيكيت
Bambara,ⵜⴰⴱⴰⵎⴱⴰⵔⴰⵢⵜ,GPL-3.0-or-later,tabambarayt,تابامبارايت
Bengali,ⵜⴰⴱⵏⴳⴰⵍⵉⵜ,GPL-3.0-or-later,tabngalit,تابنڭاليت
Bengali (Bangladesh),ⵜⴰⴱⵏⴳⴰⵍⵉⵜ (ⴱⴰⵏⴳⵍⴰⴷⵉⵛ),GPL-3.0-or-later,tabngalit (bangladish),تابنڭاليت (بانڭلاديش)
Bengali (India),ⵜⴰⴱⵏⴳⴰⵍⵉⵜ (ⵍⵀⵉⵏⴷ),GPL-3.0-or-later,tabngalit (lhind),تابنڭاليت (لهيند)
Bantu (Other),ⵜⴰⴱⴰⵏⵜⵓⵜ (ⵢⴰⴹⵏ),GPL-3.0-or-later,tabantut (yaḍn),تابانتوت (ياضن)
Tibetan,ⵜⴰⵜⵉⴱⵜⴰⵏⵜ,GPL-3.0-or-later,tatibtant,تاتيبتانت
Tibetan (China),ⵜⴰⵜⵉⴱⵜⴰⵏⵜ (ⵛⵛⵉⵏⵡⴰ),GPL-3.0-or-later,tatibtant (shshinwa),تاتيبتانت (ششينوا)
Luri (Bakhtiari),ⵜⴰⵟⴰⵢⵍⵓⵏⴷⵉⵜ,GPL-3.0-or-later,taṭaylundit,تاطايلونديت
Breton,ⵜⴰⴱⵔⵉⵜⵓⵏⵉⵜ,GPL-3.0-or-later,tabritunit,تابريتونيت
Braj,ⵜⴰⴱⵔⴰⵊⵉⵜ,GPL-3.0-or-later,tabrajit,تابراجيت
Brao,ⵜⴰⴱⵔⴰⵡⵜ,GPL-3.0-or-later,tabrawt,تابراوت
Bodo,ⵜⴰⴱⵓⴷⵓⵜ,GPL-3.0-or-later,tabudut,تابودوت
Bosnian,ⵜⴰⴱⵓⵙⵏⵢⴰⵏⵉⵜ,GPL-3.0-or-later,tabusnyanit,تابوسنيانيت
Bosnian (cyrillic),ⵜⴰⴱⵓⵙⵏⵢⴰⵏⵉⵜ (ⵙⵉⵔⵉⵍⵉⴽ),GPL-3.0-or-later,tabusnyanit (sirilik),تابوسنيانيت (سيريليك)
Bosnian (latin),ⵜⴰⴱⵓⵙⵏⵢⴰⵏⵉⵜ (ⵜⴰⵍⴰⵜⵉⵏⵉⵜ),GPL-3.0-or-later,tabusnyanit (talatinit),تابوسنيانيت (تالاتينيت)
Buriat,ⵜⴰⴱⵓⵔⵢⴰⵜⵉⵜ,GPL-3.0-or-later,taburyatit,تابورياتيت
Buginese,ⵜⴰⴱⵓⴳⵉⵏⵉⵣⵉⵜ,GPL-3.0-or-later,tabuginizit,تابوڭينيزيت
Bilen,ⵜⴰⴱⵉⵍⵉⵏⵉⵜ,GPL-3.0-or-later,tabilinit,تابيلينيت
Catalan,ⵜⴰⴽⴰⵟⴰⵍⴰⵏⵉⵜ,GPL-3.0-or-later,takaṭalanit,تاكاطالانيت
Valencian,ⵜⴰⴼⴰⵍⵓⵏⵙⵢⴰⵏⵉⵜ,GPL-3.0-or-later,tafalunsyanit,تافالونسيانيت
Catalan (Andorra),ⵜⴰⴽⴰⵟⴰⵍⴰⵏⵉⵜ (ⴰⵏⴷⵓⵔⵔⴰ),GPL-3.0-or-later,takaṭalanit (andurra),تاكاطالانيت (اندوررا)
Caddo,ⵜⴰⴽⴰⴷⵓⵢⵜ,GPL-3.0-or-later,takaduyt,تاكادويت
Kaqchikel,ⵜⴰⴽⴰⴽⵜⵛⵉⴽⵉⵍⵜ,GPL-3.0-or-later,takaktshikilt,تاكاكتشيكيلت
Galibi Carib,ⵜⴰⴳⴰⵍⵉⵙⵉⵜ,GPL-3.0-or-later,tagalisit,تاڭاليسيت
Chechen,ⵜⴰⵛⵉⵛⴰⵏⵉⵜ,GPL-3.0-or-later,tashishanit,تاشيشانيت
Cebuano,ⵜⴰⵙⵉⴱⵡⴰⵏⵉⵜ,GPL-3.0-or-later,tasibwanit,تاسيبوانيت
Chiga,ⵜⴰⵛⵉⴳⵉⵜ,GPL-3.0-or-later,tashigit,تاشيڭيت
Chamorro,ⵜⴰⵛⴰⵎⵓⵔⵓⵜ,GPL-3.0-or-later,tashamurut,تاشاموروت
Chibcha,ⵜⴰⵛⵉⴱⵛⵉⵜ,GPL-3.0-or-later,tashibshit,تاشيبشيت
Chagatai,ⵜⴰⵛⴰⴳⴰⵜⵉⵜ,GPL-3.0-or-later,tashagatit,تاشاڭاتيت
Chuukese,ⵜⴰⵛⵓⴽⵉⵙⵜ,GPL-3.0-or-later,tashukist,تاشوكيست
Mari,ⵜⴰⵎⴰⵔⵉⵜ,GPL-3.0-or-later,tamarit,تاماريت
Chinook jargon,ⵜⴰⵛⵉⵏⵓⴽⵜ ⵏ ⵊⴰⵔⴳⵓⵏ,GPL-3.0-or-later,tashinukt n jargun,تاشينوكت ن جارڭون
Choctaw,ⵜⴰⵛⵓⴽⵜⴰⵡⵜ,GPL-3.0-or-later,tashuktawt,تاشوكتاوت
Chipewyan,ⵜⴰⵛⵉⴱⵡⵢⴰⵏⵉⵜ,GPL-3.0-or-later,tashibwyanit,تاشيبويانيت
Cherokee,ⵜⴰⵛⵉⵔⵓⴽⵉⵜ,GPL-3.0-or-later,tashirukit,تاشيروكيت
Cheyenne,ⵜⴰⵛⵢⵉⵏⵉⵜ,GPL-3.0-or-later,tashyinit,تاشيينيت
Kurdish (Central),ⵜⴰⴽⵓⵔⴷⵉⵜ (ⵜⴰⵏⴰⵎⵎⴰⵙⵜ),GPL-3.0-or-later,takurdit (tanammast),تاكورديت (تانامماست)
"Kurdish (Central, Iraq)","ⵜⴰⴽⵓⵔⴷⵉⵜ (ⵜⴰⵏⴰⵎⵎⴰⵙⵜ, ⵍⵄⵉⵔⴰⵇ)",GPL-3.0-or-later,"takurdit (tanammast, l3iraq)","تاكورديت (تانامماست, لعيراق)"
"Kurdish (Central, Iran)","ⵜⴰⴽⵓⵔⴷⵉⵜ (ⵜⴰⵏⴰⵎⵎⴰⵙⵜ, ⵉⵕⴰⵏ)",GPL-3.0-or-later,"takurdit (tanammast, iṛan)","تاكورديت (تانامماست, يران)"
Montenegrin,ⵜⴰⵎⵓⵏⵜⵉⵏⵉⴳⵔⵉⵏⵜ,GPL-3.0-or-later,tamuntinigrint,تامونتينيڭرينت
Montenegrin (cyrillic),ⵜⴰⵎⵓⵏⵜⵉⵏⵉⴳⵔⵉⵏⵜ (ⵙⵉⵔⵉⵍⵉⴽ),GPL-3.0-or-later,tamuntinigrint (sirilik),تامونتينيڭرينت (سيريليك)
Corsican,ⵜⴰⴽⵓⵔⵙⵉⴽⵉⵜ,GPL-3.0-or-later,takursikit,تاكورسيكيت
Coptic,ⵜⴰⵇⵉⴱⵟⵉⵜ,GPL-3.0-or-later,taqibṭit,تاقيبطيت
Creoles and pidgins (English based),ⵜⴰⴽⵔⵢⵓⵍⵉⵜ ⴷ ⵜⴱⵉⴷⴳⵉⵏⵙⵉⵜ (ⵜⵉⵏⴳⵍⵉⵣⵉⵜ),GPL-3.0-or-later,takryulit d tbidginsit (tinglizit),تاكريوليت د تبيدڭينسيت (تينڭليزيت)
Creoles and pidgins (French-based),ⵜⴰⴽⵔⵢⵓⵍⵉⵜ ⴷ ⵜⴱⵉⴷⴳⵉⵏⵙⵉⵜ (ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ),GPL-3.0-or-later,takryulit d tbidginsit (tafṛanṣiṣt),تاكريوليت د تبيدڭينسيت (تافرانصيصت)
Creoles and pidgins (Portuguese-based),ⵜⴰⴽⵔⵢⵓⵍⵉⵜ ⴷ ⵜⴱⵉⴷⴳⵉⵏⵙⵉⵜ (ⵜⴰⴱⵓⵔⵜⵓⴳⴰⵍⵉⵜ),GPL-3.0-or-later,takryulit d tbidginsit (taburtugalit),تاكريوليت د تبيدڭينسيت (تابورتوڭاليت)
Cree,ⵜⴰⴽⵔⵉⵜ,GPL-3.0-or-later,takrit,تاكريت
Crimean Tatar,ⵜⴰⵜⴰⵜⴰⵔⵉⵜ ⵏ ⴽⵔⵉⵎⵉ,GPL-3.0-or-later,tatatarit n krimi,تاتاتاريت ن كريمي
Creoles and pidgins,ⵜⴰⴽⵔⵢⵓⵍⵉⵜ ⴷ ⵜⴱⵉⴷⴳⵉⵏⵉⵙⵜ,GPL-3.0-or-later,takryulit d tbidginist,تاكريوليت د تبيدڭينيست
Czech,ⵜⴰⵜⵛⵉⴽⵉⵜ,GPL-3.0-or-later,tatshikit,تاتشيكيت
Kashubian,ⵜⴰⴽⵓⵛⵉⴱⵉⵜ,GPL-3.0-or-later,takushibit,تاكوشيبيت
Slavonic (Old Church),ⵜⴰⵙⵍⴰⴼⵓⵏⵉⵜ (ⵜⴰⵣⴰⵢⴽⵓⵜ),GPL-3.0-or-later,taslafunit (tazaykut),تاسلافونيت (تازايكوت)
Chuvash,ⵜⴰⵛⵓⴼⴰⵛⵉⵜ,GPL-3.0-or-later,tashufashit,تاشوفاشيت
Welsh,ⵜⴰⵡⵉⵍⵛⵉⵜ,GPL-3.0-or-later,tawilshit,تاويلشيت
Danish,ⵜⴰⴷⴰⵏⵉⵜ,GPL-3.0-or-later,tadanit,تادانيت
Dakota,ⵜⴰⴷⴰⴽⵓⵜⵉⵜ,GPL-3.0-or-later,tadakutit,تاداكوتيت
Dargwa,ⵜⴰⴷⴰⵔⴳⵡⵉⵜ,GPL-3.0-or-later,tadargwit,تادارڭويت
German,ⵜⴰⵍⵉⵎⴰⵏⵜ,GPL-3.0-or-later,talimant,تاليمانت
German (formal),ⵜⴰⵍⵎⴰⵏⵉⵜ (ⵜⴰⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,talmanit (tamaddudt),تالمانيت (تاماددودت)
German (informal),ⵜⴰⵍⵎⴰⵏⵉⵜ (ⵜⴰⵔⵎⴰⴷⴷⵓⴷⵜ),GPL-3.0-or-later,talmanit (tarmaddudt),تالمانيت (تارماددودت)
German (old spelling),ⵜⴰⵍⵎⴰⵏⵉⵜ (ⵡⴰⵍⵙⵔ),GPL-3.0-or-later,talmanit (walsr),تالمانيت (والسر)
German (Austria),ⵜⴰⵍⵎⴰⵏⵉⵜ (ⵓⵙⵜⵔⵢⴰ),GPL-3.0-or-later,talmanit (ustrya),تالمانيت (وستريا)
German (Switzerland),ⵜⴰⵍⵎⴰⵏⵉⵜ (ⵙⵡⵉⵙⵔⴰ),GPL-3.0-or-later,talmanit (swisra),تالمانيت (سويسرا)
German (Luxembourg),ⵜⴰⵍⵎⴰⵏⵉⵜ (ⵍⵉⴽⵙⵓⵎⴱⵓⵔⴳ),GPL-3.0-or-later,talmanit (liksumburg),تالمانيت (ليكسومبورڭ)
