Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⵉⵙⵎ ⵏ ⵜⵡⵊⴰ,nom de famille,اسم عائلي,ism n twja,يسم ن توجا,Family name
ⵉⵙⵎ ⵏ ⵡⴰⵍⵍⴰⵍ,nom d’instrument,اسم آلة,ism n wallal,يسم ن واللال,The name of a tool or instrument.
ⵎⴼⴼⵔ ⵉⵙⵎ,Pseudonyme,اسم مستعار,mffr ism,مففر يسم,Nickname
ⵡⴰⵔ ⵉⵙⵎ,anonyme,مجهول,war ism,وار يسم,Unknown
ⵉⵙⴽⵏⵉ ⵏ ⵉⴷⵎⴰⵔⵏ,cage thoracique,القفص الصدري,iskni n idmarn,يسكني ن يدمارن,The ribcage
ⵎⴰⵔ ⵉⵚⵉⴹ,antirabique,مضاد الكَلَب,mar iṣiḍ,مار يصيض,The rabies vaccine.
ⵉⵛⴰⴽⴰⵏ ⵉⴷ ⴱⵓ ⵉⵚⵏⵚⴰⵏ,légumes-tiges,خُضرٌ ساقية,ishakan id bu iṣnṣan,يشاكان يد بو يصنصان,Green (or fresh) waterwheel.
ⵉⵛⴰⴽⴰⵏ ⵉⴷ ⴱⵓ ⵉⵥⵓⵕⴰⵏ,légumes-racines,خُضرٌ جذرية,ishakan id bu iẓuṛan,يشاكان يد بو يزّوران,Root vegetables
ⵉⵛⴰⴽⴰⵏ ⵉⴷ ⴱⵓ ⵜⵏⵡⵡⴰⵛⵉⵏ,légumes-fleurs,خُضرٌ زهرية,ishakan id bu tnwwashin,يشاكان يد بو تنوواشين,Greenish pink.
ⵉⵛⴰⴽⴰⵏ ⵉⴷ ⴱⵓ ⵡⴰⵇⵇⴰⵢⵏ,légumineuses,قرنيات,ishakan id bu waqqayn,يشاكان يد بو واققاين,"""Corneas"""
ⵉⵛⴰⴽⴰⵏ ⵉⴷ ⴱⵓ ⵡⴰⵡⵙⴰⵢ,légumes-feuilles,خُضرٌ ورقية,ishakan id bu wawsay,يشاكان يد بو واوساي,Leafy greens
ⵓⵔ ⵢⵉⵡⴷⵉ,Insuffisant,غير كاف,ur yiwdi,ور ييودي,Not enough.
ⵉⵡⵉⵣ ⵅⴼ ⵉⵙⵓⴼⴰⵔ,pharmacovigilance,يقظة دوائية,iwiz khf isufar,يويز خف يسوفار,Pharmacovigilance
ⵙ ⵢⵉⵡⵉⵣ ⵢⴰⵜⵜⵓⵢⵏ,sous le haut patronage,تحت الرعاية السامية,s yiwiz yattuyn,س ييويز ياتتوين,Under the high patronage
ⵉⵣⵉⴽⵔ ⵏ ⵓⵏⴹⴰⵡ,corde à sauter,حبل النط,izikr n unḍaw,يزيكر ن ونضاو,Jump rope
ⵉⵣⵉⵍⵎ ⵏ ⵜⴰⵟⵟⵓⵜ,câble de répartition,حبل توزيع,izilm n taṭṭut,يزيلم ن تاططوت,Distribution rope
ⵉⵣⵍⴰⵏ ⵉⵜⵜⵢⴰⵏⴰⵡⵏ,variétés,منوعات,izlan ittyanawn,يزلان يتتياناون,Varieties or Miscellaneous
ⵉⵣⵍⵉ ⴰⵏⴰⵎⵓⵔ,hymne national,نشيد وطني,izli anamur,يزلي انامور,National anthem
ⵉⵣⵍⵉ ⵏ ⵓⵙⴳⴳⵯⴰⵙ,tube,أغنية الموسم,izli n usggⵯas,يزلي ن وسڭڭⵯاس,The song of the season.
ⵉⵥⴹⵉ ⵏ ⵜⴰⴷⴰⵡⵜ,colonne vertébrale,عمود فقري,iẓḍi n tadawt,يزّضي ن تاداوت,Spine or Backbone
ⴰⵙⴰⵔⵓ ⵏ ⵢⵉⵥⵉ,canal biliaire,قناة الصفراء,asaru n yiẓi,اسارو ن ييزّي,The Yellow Channel
ⴰⵥⵕⵓ ⵏ ⵢⵉⵥⵉ,calcul biliaire,حصاة مرارية,aẓṛu n yiẓi,ازّرو ن ييزّي,Gallstone
ⵉⵥⵉⴽⵉ ⵏ ⵜⵓⵇⵇⵏⴰ,barrière de confinement,حاجز الحجر الصحي,iẓiki n tuqqna,يزّيكي ن توققنا,Quarantine barrier
ⵜⴰⴷⵔⵙⵉ ⵏ ⵢⵉⵥⵕⵉ,myopie,حَسَر (قصر النظر),tadrsi n yiẓṛi,تادرسي ن ييزّري,Nearsightedness (myopia)
ⵜⴰⵎⵏⴰⴹⵜ ⵏ ⵢⵉⵥⵕⵉ,aire visuelle,ساحة بصرية,tamnaḍt n yiẓṛi,تامناضت ن ييزّري,Visual square.
ⴰⵎⴷⵔⵓⵙ ⵏ ⵢⵉⵥⵕⵉ,myope,حاسر,amdrus n yiẓṛi,امدروس ن ييزّري,"The word ""حاسر"" in Arabic can be translated into English as ""bareheaded"" or ""uncovered,"" depending on the context. Could you provide more context for a more accurate translation?"
ⵜⴰⵎⴰⴳⵉⵜ ⵏ ⵉⵥⵕⵉ,identité visuelle,هوية بصرية,tamagit n iẓṛi,تاماڭيت ن يزّري,Visual identity
ⵜⵉⵖⵣⵉ ⵏ ⵉⵥⵕⵉ,hypermétropie,طول النظر,tighzi n iẓṛi,تيغزي ن يزّري,Farsightedness
ⵉⵥⵥⵍⵎⴹ ⵉⴳⴰⵏ ⵍⵇⴱⵍⵜ,nord-est,شمال شرقي,iẓẓlmḍ igan lqblt,يزّزّلمض يڭان لقبلت,Northeast
ⵉⵥⵥⵍⵎⴹ ⵉⴳⴰⵏ ⵜⴰⴳⵓⵜ,nord-ouest,شمال غربي,iẓẓlmḍ igan tagut,يزّزّلمض يڭان تاڭوت,Northwest
ⵓⵔ ⵊⵊⵓ,ne jamais (dans le passé),أبدا,ur jju,ور ججو,Never
ⵍⴰⵍ ⵏ ⵓⵅⴰⵎ,épouse,زوجة,lal n ukham,لال ن وخام,Wife
ⵍⴰⵍ ⵏ ⵜⵡⵓⵔⵉⵡⵉⵏ,femme d'affaires,امرأة أعمال,lal n twuriwin,لال ن تووريوين,Businesswoman
ⵉⵏⵖⴰ ⵜ ⵍⴰⵥ,il a faim,جاع,ingha t laẓ,ينغا ت لازّ,He got hungry.
ⵍⴱⴰⵏⴽ ⵏ ⵉⴷⴰⵎⵎⵏ,banque de sang,بنك الدم,lbank n idammn,لبانك ن يداممن,Blood bank
ⵍⴱⴰⵏⴽ ⵏ ⵉⵏⵖⵎⵉⵙⵏ,banque d'informations,بنك المعلومات,lbank n inghmisn,لبانك ن ينغميسن,Information bank
ⵍⴱⵓⵍⵉⵙ ⴰⵎⵙⵙⵓⴳⵓⵔ,Police administrative,الشرطة الإدارية,lbulis amssugur,لبوليس امسسوڭور,Administrative police
ⵍⴼⵉⵍⵎ ⴰⵇⵓⴹⴰⴹ,court métrage,فيلم قصير,lfilm aquḍaḍ,لفيلم اقوضاض,Short film
ⵍⴼⵉⵍⵎ ⴰⵎⵙⵓⵔⴰⵔ,film de divertissement,فيلم ترفيهي,lfilm amsurar,لفيلم امسورار,An entertaining movie
ⵍⴼⵉⵍⵎ ⴰⵏⴰⵔⴰⵎ,film expérimental,فيلم تجريبي,lfilm anaram,لفيلم انارام,Experimental film
ⵍⴼⵉⵍⵎ ⴰⵙⴳⵎⴰⵏ,film éducatif,فيلم تعليمي,lfilm asgman,لفيلم اسڭمان,Educational film
ⵍⴼⵉⵍⵎ ⴰⵜⵍⴼⴰⵣ,téléfilm,فيلم تلفزي,lfilm atlfaz,لفيلم اتلفاز,Television movie
ⵍⴼⵉⵍⵎ ⵉⴼⵙⵜⵏ,film muet,فيلم صامت,lfilm ifstn,لفيلم يفستن,Silent film
ⵍⴼⵉⵍⵎ ⵉⵎⵃⴹⵉ,film d'archives,فيلم أرشيفي,lfilm imḥḍi,لفيلم يمحضي,Archival film
ⵍⴼⵉⵍⵎ ⵓⵏⵜⵉⵎ,film documentaire,فيلم وثائقي,lfilm untim,لفيلم ونتيم,Documentary film
ⴱⵓ ⵍⴽⴰⵎⵉⵕⴰ,caméraman,مصور,bu lkamiṛa,بو لكاميرا,Photographer
ⵉⴱⴷⴷ ⵍⵃⴰⵍ,Il fait lourd,الجو خانق,ibdd lḥal,يبدد لحال,The weather is stifling.
ⵉⴼⴰⵡ ⵍⵃⴰⵍ,Il fait jour,أصبح,ifaw lḥal,يفاو لحال,It became.
ⵉⴼⴼⵓ ⵍⵃⴰⵍ,Il fait jour,أصبح,iffu lḥal,يففو لحال,It became / He became / It has become / He has become (depending on the context).
ⵉⴼⴼⵖ ⴷ ⵍⵃⴰⵍ,Il y a une embellie,صحا الجو,iffgh d lḥal,يففغ د لحال,The weather cleared up.
ⵉⵃⵎⴰ ⵍⵃⴰⵍ,Il fait chaud,الجو ساخن,iḥma lḥal,يحما لحال,The weather is hot.
ⵉⵇⵇⵏ ⵍⵃⴰⵍ,Il fait lourd,الجو خانق,iqqn lḥal,يققن لحال,The weather is stifling.
ⵉⵔⵖⴰ ⵍⵃⴰⵍ,Il fait chaud,الجو ساخن,irgha lḥal,يرغا لحال,The weather is hot.
ⵉⵖⵓⴼ ⵍⵃⴰⵍ,Il fait lourd,الجو خانق,ighuf lḥal,يغوف لحال,The weather is stifling.
ⵉⵣⵓⵣⵡⴰ ⵍⵃⴰⵍ,Il fait frais,الجو منعش,izuzwa lḥal,يزوزوا لحال,The weather is refreshing.
ⵉⵖⵔⴰ ⴰⴷⵍⵉⵙ ⵍⵍⵉ ⴰⵙ ⵜⴼⴽⵉⴷ,il a lu le livre que tu lui as donné,قرأ الكتاب الذي أعطيته إياه,ighra adlis lli as tfkid,يغرا ادليس للي اس تفكيد,He read the book that I gave him.
ⴰⵔⴱⴰ ⵍⵍⵉ,ce garçon (en question),ذاك الولد,arba lli,اربا للي,That boy
ⴼⴼⵖⵏⵜ ⵍⵍⵢⴰⵍⵉ,La période froide de l'année est terminée.,"انتهى موسم ""الليالي"".",ffghnt llyali,ففغنت لليالي,"The season of ""Al-Layali"" has ended."
ⵓⴷⴼⵏⵜ ⵍⵍⵢⴰⵍⵉ,Le froid s'est installé,"بدأ موسم ""الليالي"".",udfnt llyali,ودفنت لليالي,"The ""Nights"" season has begun."
ⴽⵛⵎⵏⵜ ⵍⵍⵢⴰⵍⵉ,Le froid s'est installé,"بدأ موسم ""الليالي"".",kshmnt llyali,كشمنت لليالي,"The ""Nights"" season has begun."
ⵙⵙⴰⵔⴰ ⴳ ⵍⵡⵉⴱ,naviguer sur le Net,أبحر في الويب,ssara g lwib,سسارا ڭ لويب,Surf the web.
ⵎⴰ ⵎⵉ,à qui ?,إلى من ؟,ma mi,ما مي,To whom?
ⵎⴰⵏ ⵜⴰ,laquelle ?,مَن التي ؟,man ta,مان تا,"""Who is she?"""
ⵎⴰⵏ ⵡⴰ,lequel ?,مَن الذي ؟,man wa,مان وا,Who is it?
ⵎⴰⵔ ⵎⵉⴷⵉⵔ,antibiotique,مضاد حيوي,mar midir,مار ميدير,Antibiotic
ⵎⴰⵜⵜⴰ ⵓⵢⴰ?,qu'est ce que c'est que ça?,ما هذا؟,matta uya?,ماتتا ويا?,What is this?
ⵎⴰⵜⵜⴰ ⵜⴰⵡⵓⵔⵉ ⴰ?,qu'est ce que c'est que ce travail?,ما هذا العمل؟,matta tawuri a?,ماتتا تاووري ا?,What is this work?
ⵓⵔ ⵉⵜⵜⵓⵎⵄⵉⵏⵏ,non acquis,غير محصل,ur ittum3inn,ور يتتومعينن,"""Uncollected"" or ""Not obtained"""
ⵎⵉ ⵎⵉ,à qui,لمن؟,mi mi,مي مي,To whom?
ⵓ ⵎⵉ,"à qui?, à qui",لمن؟، الذي (للذي),u mi,و مي,To whom? The one (for the one).
ⵓⵔ ⵉⵜⵜⵎⵓⵙⵙⵓⵏ,inamovible,قار، غير قابل للعزل,ur ittmussun,ور يتتموسسون,"""Opaque, non-separable."""
ⴳ ⵎⵏⵉⴷ ⵏ…,"être digne de, mériter",استحقّ,g mnid n…,ڭ منيد ن…,He deserved.
ⵓⵛⴽⴰⵏ ⴷ ⵎⵏⵏⴰⵡ ⵉⵙⵍⵎⴰⴷⵏ,plusieurs professeurs sont venus,جاء عدّة أساتذة,ushkan d mnnaw islmadn,وشكان د منناو يسلمادن,Several teachers came.
ⵎⵏⵏⴰⵡ ⵡⵓⵙⵙⴰⵏ ⴰⴷ ⴼⵍⵍⴰⵙ ⵉⵣⵔⵉⵏ,Combien de jours sont-ils passés depuis?,كم يوما مضى على ذلك؟,mnnaw wussan ad fllas izrin,منناو ووسسان اد فللاس يزرين,How many days have passed since then?
ⵎⵏⵛⴽ ⴰⴷ ⵜⵔⴰⵎ ?,Combien voulez-vous ?,كم تريدون؟,mnshk ad tram ?,منشك اد ترام ?,How much do you want?
ⵎⵏⵛⴽ ⴷ ⵎⵉⴷⴷⵏ ⴰⴷ ⵉⵍⵍⴰⵏ ⴳ ⵜⵎⵖⵔⴰ,il y avait beaucoup de gens au mariage,حضر العرس كثير من الناس,mnshk d middn ad illan g tmghra,منشك د ميددن اد يللان ڭ تمغرا,A lot of people attended the wedding.
ⵉⵛⵛⴰ ⵎⵏⵛⵜ ⵜⴰⵍⵉⵜⵛⵉⵏⵉⵏ,Il a mangé plusieurs oranges,أكل عدّة برتقالات,ishsha mnsht talitshinin,يششا منشت تاليتشينين,He ate several oranges.
"ⵎⵔ ⵙⵙⵉⵏⵖ ⵉⴷⴷ ⵉⵙ ⵜ ⵜⵔⵉⴷ, ⵍⵍⵉⵖ ⵉⵡⵢⵖ ⴰⴽ ⵜ ⵉⴷ","Si je savais que tu en avais besoin, je te l'aurais apporté",لو كنت أعلم أنك محتاج إليه لأتيت لك به,"mr ssingh idd is t trid, lligh iwygh ak t id","مر سسينغ يدد يس ت تريد, لليغ يويغ اك ت يد","If I had known that you needed it, I would have brought it to you."
"ⵎⵖⴰⵔ ⵓⵔ ⵉ ⵉⵙⵍⵍⵉⴽ ⵕⵕⴰⵢ ⴰ, ⵓⵔ ⴱⴰⴹⵖ ⵉ ⴽⴰ","Bien que cette décision ne m'arrange pas, je n'y peux rien",رغم أنّ هذا الرأي لا يناسبني، لا أستطيع فعل شيء,"mghar ur i isllik ṛṛay a, ur baḍgh i ka","مغار ور ي يسلليك رراي ا, ور باضغ ي كا","Although this opinion does not suit me, I cannot do anything."
ⵎⵜⴰⴷ ⵉⵙ ⴷⴰⵔⵉ ⴰⵢⵢⵉⵙ ⵓⵔ ⵔⴰ ⴷ ⴰⵙ ⴳⵖ ⴰⴹⴰⵕ,"Si j'avais un cheval, je n'irais pas à pied",لو كنت أملك حصانا لما جئت ماشيا,mtad is dari ayyis ur ra d as ggh aḍaṛ,متاد يس داري ايييس ور را د اس ڭغ اضار,"If I had a horse, I wouldn't have come walking."
ⴰⵎⴰⵏ ⵏ ⵓⵏⵥⴰⵕ,eau de pluie,ماء المطر,aman n unẓaṛ,امان ن ونزّار,Rainwater
ⵉⵍⵍⵉⵙ ⵏ ⵄⵍⵉ,fille d'Ali,ابنة علي,illis n 3li,يلليس ن علي,Ali's daughter
ⵏⴳⴹ (-ⵏⵏ),être dépendant,أدمن,ngḍ (-nn),نڭض (-نن),"""Addicted"" or ""Admin"" (depending on the context). Could you provide more context for a more accurate translation?"
ⵏⴰⴼ ⵏⴷⵉⵡⴰⵙⵙ,avant-hier,أول أمس,naf ndiwass,ناف نديواسس,The day before yesterday
ⵙ ⵏⵏⵉⵜ,sérieusement,جدّيا,s nnit,س ننيت,Seriously
ⴰⵔⴳⴰⵣ ⵏⵏⴰ,cet homme là,ذاك الرجل,argaz nna,ارڭاز ننا,That man
ⵓⵔ ⵉⵏⵏⵓⵎⵎⵙⵏ,Décentralisé,لامتمركز,ur innummsn,ور يننوممسن,Decentralized
ⵉⵏⵖⴰ ⵜ ⴽⵔⴰ,il est malade,مرض,ingha t kra,ينغا ت كرا,Illness
ⵉⵏⵖⴰ ⵜ ⵓⵥⴱⴱⴰⵕ,il a des coliques,شعر بمغص,ingha t uẓbbaṛ,ينغا ت وزّببار,He felt abdominal pain.
ⵓ ⴱⵕⴰⵀⵉⵎ,fils de Brahim,ابن إبراهيم,u bṛahim,و براهيم,Son of Ibrahim
ⵓ ⵜⵎⴰⵙⵉⵏⵜ,originaire de Tamasint,هو من تامسينت,u tmasint,و تماسينت,He is from Tamsint.
ⵓⴳⴳⵉⴷ ⴰⵏⵉⵎⴰⵏ,personne physique,شخص ذاتي,uggid animan,وڭڭيد انيمان,A self-centered person.
ⵓⴳⴳⵉⴷ ⴰⵡⵏⴳⵉⵎ,personne morale,شخص معنوي,uggid awngim,وڭڭيد اونڭيم,A legal entity
ⵓⴳⴳⵓⴳ ⵏ ⵡⴰⵡⵔⵉⵔ,barrage collinaire,سد تلي,uggug n wawrir,وڭڭوڭ ن واورير,Earthen dam
ⵓⴷⴷⵉⵙ ⴰⴷⵍⵙⴰⵏ,Complexe culturel,مركب ثقافي,uddis adlsan,ودديس ادلسان,Cultural complex
ⵓⴷⴷⵉⵙ ⴰⵎⵙⴷⴰⵡ,Campus universitaire,مُركَّب جامعي,uddis amsdaw,ودديس امسداو,University complex
ⴳ ⵜⵓⴷⵎⴰⵡⵉⵏ,être partial,تحيَّز، حابى,g tudmawin,ڭ تودماوين,"Biased, favored."
ⵙⴽⵔ ⵓⴷⵎⴰⵡⵏ,être partial,تحيَّز، حابى,skr udmawn,سكر ودماون,"Biased, favored."
ⵓⴷⵎ ⵏ ⵡⴰⴽⴰⵍ,surface de la terre,سطح الأرض,udm n wakal,ودم ن واكال,The surface of the Earth
ⵓⴷⵎ ⵏ ⵢⵉⵍⵍ,surface de la mer,سطح البحر,udm n yill,ودم ن ييلل,Sea level
ⵓⴱⵓⵢ ⵏ ⵡⵓⴼⵓⵖ,couvre-feu,حظر التجول,ubuy n wufugh,وبوي ن ووفوغ,Curfew
ⵓⴼⵓⵖ ⵙⴳ ⵓⵙⴳⴷ,"abjuration, apostasie",ردة,ufugh sg usgd,وفوغ سڭ وسڭد,"""Reaction"""
ⵓⴼⵓⵖ ⵣⵉ,Désengagement,فكُّ الالتزام,ufugh zi,وفوغ زي,"""Disengagement"" or ""Dissolution of commitment"""
ⵓⴼⵓⵖ ⵣⵉ ⵜⵡⵓⵔⵉ,démission,استقالة,ufugh zi twuri,وفوغ زي تووري,Resignation
ⵍⴰ ⴽ ⵉⵔⴳⴳⵎ ⵓⴽⴰⵏ ⵜⴼⵉⵙⵙⴷ !,il t'insulte et tu t'es tu !,يشتمك وأنت تلزم الصمت !,la k irggm ukan tfissd !,لا ك يرڭڭم وكان تفيسسد !,"He insults you, and you remain silent!"
ⵖⴰⵙ ⴰⵢⴰ ⵓⴽⴰⵏ !,rien que ça !,هذا فقط !,ghas aya ukan !,غاس ايا وكان !,That's it!
"ⵙⵓ ⵓⴽⴰⵏ ⴰⵜⴰⵢ, ⵜⴷⴷⵓⴷ","prends d'abord du thé, puis tu t'en vas",اشرب الشاي أوّلا ثم اذهب,"su ukan atay, tddud","سو وكان اتاي, تددود","Drink the tea first, then go."
ⵓⴽⵓⵙ ⵏ ⵉⵜⵍⴰⵏ,levée des scellées,فض الأختام,ukus n itlan,وكوس ن يتلان,Breaking the seals
ⵓⴽⵓⵙ ⵏ ⵓⵚⵕⴰⴹ ⴰⴳⴷⵓⴷⴰⵏ,Retrait de l'action publique,إسقاط الدعوى العمومية,ukus n uṣṛaḍ agdudan,وكوس ن وصراض اڭدودان,Dismissal of the public lawsuit
ⵓⴽⵓⵙ ⵏ ⵜⵖⵍⴰⵏⵜ,déchéance de la nationalité,إسقاط الجنسية,ukus n tghlant,وكوس ن تغلانت,Revocation of citizenship
ⵓⴽⵓⵙ ⵏ ⵡⴰⵢⴷⴰ,expropriation,نزع الملكية,ukus n wayda,وكوس ن وايدا,Expropriation
ⴰⴱⵣⴰⴳ ⵏ ⵡⵓⵍ,hypertrophie cardiaque,تضخم قلبي,abzag n wul,ابزاڭ ن وول,"""My heart is enlarged"" or ""I have an enlarged heart."""
ⴰⵃⴼⵓⴼⵓ ⵏ ⵡⵓⵍ,insuffisance cardiaque,قصورقلبي (عدم قدرة القلب على ضخ الدم),aḥfufu n wul,احفوفو ن وول,Heart failure (the inability of the heart to pump blood).
ⴰⵏⵏⵓⵕⵥⵎ ⵏ ⵡⵓⵍ,diastole,انبساط القلب,annuṛẓm n wul,اننورزّم ن وول,The joy of the heart.
ⴰⵙⴰⵜⵍ ⵏ ⵡⵓⵍ,péricarde (membrane enveloppant le cœur),شغاف، تأمور (غشاء يحيط بالقلب),asatl n wul,اساتل ن وول,"Shaghaf, Tamour (a membrane surrounding the heart)."
ⴰⵡⵃⴰⵍ ⵏ ⵡⵓⵍ,insuffisance cardiaque,قصورقلبي (عدم قدرة القلب على ضخ الدم),awḥal n wul,اوحال ن وول,Heart failure (the inability of the heart to pump blood).
ⵙ ⵡⵓⵍ,sérieusement,جدّيا,s wul,س وول,Seriously
ⵜⴰⵖⵓⵏⵉ ⵏ ⵡⵓⵍ,systole,انقباض القلب,taghuni n wul,تاغوني ن وول,Heart contraction
ⵜⴰⵥⴹⴰⵢⵜ ⵏ ⵡⵓⵍ,bradycardie,بطء القلب,taẓḍayt n wul,تازّضايت ن وول,Bradycardia (slow heart rate)
ⵜⵉⵢⵜⵉ ⵏ ⵡⵓⵍ,battement du cœur,ضربات القلب,tiyti n wul,تييتي ن وول,Heartbeats
ⵜⵓⴼⴼⵜ ⵏ ⵡⵓⵍ,hypertrophie cardiaque,تضخم قلبي,tufft n wul,توففت ن وول,"""My heart is enlarged."""
ⵙ ⵜⵖⴰⵔⴰⵙⵜ ⵜⵓⵍⴳⵉⵏⵜ,légalement,قانونا، شرعا,s tgharast tulgint,س تغاراست تولڭينت,"Legally, religiously."
ⵓⵍⵜ ⵜⵣⵏⴰⵖⵜ,originaire de Taznaght,هي من مدينة تزناخت,ult tznaght,ولت تزناغت,She is from the city of Taznakht.
ⵓⵍⵜ ⵡⴰⵕⴰⵢⵏ,de la tribu d'Ayt Warayn,هي من قبيلة أيت وراين,ult waṛayn,ولت واراين,She is from the Ait Warain tribe.
ⵓⵎⵍⴰⵏ ⵓⴷⵎⴰⵡⴰⵏⵏ,informations personnelles,معلومات شخصية,umlan udmawann,وملان ودماوانن,Personal information
ⴰⴱⴷⴷⵉ ⵏ ⵡⵓⵏⴼⵓⵙ,asphyxie,اختناق,abddi n wunfus,ابددي ن وونفوس,Suffocation
ⴰⴼⴷⵓⴷⴷⵔ ⵏ ⵡⴰⵍⵍⴰⵍ ⵏ ⵡⵓⵏⴼⵓⵙ,inflammation de l'appareil re-iratoire,التهاب الجهاز التنفسي,afduddr n wallal n wunfus,افدوددر ن واللال ن وونفوس,Respiratory infection
ⴰⵍⵍⴰⵍ ⵏ ⵡⵓⵏⴼⵓⵙ,appareil respiratoire,جهاز التنفس,allal n wunfus,اللال ن وونفوس,Respiratory device
ⴰⵙⴰⴽⴰ ⵏ ⵡⵓⵏⴼⵓⵙ,voie respiratoire,مسلك تنفسي,asaka n wunfus,اساكا ن وونفوس,Respiratory tract
ⴰⵙⴰⵢ ⵏ ⵡⵓⵏⴼⵓⵙ,inspiration,شهيق,asay n wunfus,اساي ن وونفوس,Inhalation
ⴰⵙⵉ ⵓⵏⴼⵓⵙ,inspirer,شهق,asi unfus,اسي ونفوس,He gasped.
ⴰⵙⵓⴼⵖ ⵏ ⵡⵓⵏⴼⵓⵙ,expiration,زفير,asufgh n wunfus,اسوفغ ن وونفوس,Exhalation
ⵓⴱⵓⵢ ⵏ ⵡⵓⵏⴼⵓⵙ,asphyxie,اختناق,ubuy n wunfus,وبوي ن وونفوس,Suffocation
ⵙⵙⵓⴼⵖ ⵓⵏⴼⵓⵙ,expirer,زفر,ssufgh unfus,سسوفغ ونفوس,"""Exhaled"""
ⵜⴰⴷⵔⵙⵉ ⵏ ⵡⵓⵏⴼⵓⵙ,insuffisance respiratoire,ضيقُ التنفس,tadrsi n wunfus,تادرسي ن وونفوس,Shortness of breath
ⵜⴰⵔⴷⵉⵙⵜ ⵏ ⵡⵓⵏⴼⵓⵙ,amplitude respiratoire,سعة تنفسية,tardist n wunfus,تارديست ن وونفوس,Respiratory capacity
ⵓⵏⵓⵖ ⵓⵥⵕⵉⵕ ⵏ ⵡⴰⵏⵍⵍⵉ,Electroencéphalogramme,التخطيط الكهربائي للدماغ,unugh uẓṛiṛ n wanlli,ونوغ وزّرير ن وانللي,Electroencephalography (EEG)
ⵓⵔ ⵜⴰ,pas encore,ليس بعد,ur ta,ور تا,Not yet.
ⴱⴰⴱ ⵏ ⵡⵓⵔⴰⵔ,poète,شاعر,bab n wurar,باب ن وورار,Poet
ⵜⴰⵏⵏⴰⵢⵜ ⵜⵓⵔⵙⵉⵍⵜ,stéréotype,صورة نمطية,tannayt tursilt,تاننايت تورسيلت,Stereotype
ⵍⴰ ⴽⴽⴰⵜⵏ ⵡⵓⵙⵎⴰⵏ,Des éclairs jaillissent.,تبرق السماء,la kkatn wusman,لا ككاتن ووسمان,The sky is flashing.
ⵓⵙⵎ ⴰⵏⵖⵎⴰⵙ,Flash d'information,موجز الأخبار,usm anghmas,وسم انغماس,News summary
ⵜⵉⵢⵜⵉ ⵏ ⵡⵓⵙⵎⴰⵏ,foudre,صاعقة,tiyti n wusman,تييتي ن ووسمان,Thunderbolt
ⵓⵙⵎⵉⴷ ⴰⵏⴰⴱⴰⵡ,accompli négatif,تام منفي,usmid anabaw,وسميد اناباو,Tam is exiled.
ⵉⵎⵉ ⵏ ⵓⵚⴽⴰⵢ,mesure de longueur correspond à la distance entre le pouce et l’index ouverts,قياس الطول يساوي المسافة بين الإبهام والسبابة المفتوحين,imi n uṣkay,يمي ن وصكاي,The measurement of length equals the distance between the thumb and the extended index finger.
ⵓⵜ ⴰⴼⵓⵙ,bien profiter,انتهز,ut afus,وت افوس,Seize.
ⴳⴰⵔ ⵓⵜⵛⵉ,malnutrition sous-alimentation,سوء التغذية (نقص تغذية),gar utshi,ڭار وتشي,Malnutrition (undernutrition)
ⵓⵜⵛⵉ ⴰⴷⵓⵙⴰⵏ,alimentation saine,تغذية سليمة,utshi adusan,وتشي ادوسان,Proper nutrition
ⵓⵜⵛⵉ ⴰⵏⵎⵢⴰⵙ,alimentation équilibrée,تغذية متوازنة,utshi anmyas,وتشي انمياس,Balanced nutrition
ⵓⵜⵛⵉ ⴰⵏⵙⵎⴰⴷ,alimentation complémentaire,تغذية تكميلية,utshi ansmad,وتشي انسماد,Supplementary nutrition
ⵓⵜⵛⵉ ⵉⵕⵡⴰⵏ,alimentation saine,تغذية سليمة,utshi iṛwan,وتشي يروان,Proper nutrition
ⵔⴰⴷ ⵉⵎⵎⵓⴷⴷⵓ ⴳ ⵓⵏⴱⴷⵓ,il voyagera en été,سيسافر في الصيف,rad immuddu g unbdu,راد يمموددو ڭ ونبدو,He will travel in the summer.
ⵉⴽⴽⵔ ⴷ ⵔⵔⴰⵎⵓⵣ,L'avalanche s'est déclenchée.,انهار الثلج,ikkr d rramuz,يككر د رراموز,The snow collapsed.
ⵓⴷⵎ ⵏ ⵕⴱⴱⵉ,pour l'amour de Dieu,في سبيل الله، وجه الله,udm n ṛbbi,ودم ن رببي,"In the cause of Allah, for the sake of Allah."
ⵜⵎⵇⵇⵓⵔ ⵜⴰⴷⴷⴰⵔⵜ ⵎⴰⵏⵉ ⵖⴰ ⵉⵣⴷⵖ,la maison où il habitera est grande,المنزل الذي سيسكنه كبير,tmqqur taddart mani gha izdgh,تمققور تاددارت ماني غا يزدغ,The house that they will live in is big.
"ⵖⵉⴽⵍⵍⵉ ⵜⴷⴷⴰ ⵎⴰⵙ, ⴰⵔ ⵢⴰⵍⵍⴰ","dès que sa maman est partie, il s'est mis à pleurer",بمجرد أن انصرفت أمه، بدأ يبكي,"ghiklli tdda mas, ar yalla","غيكللي تددا ماس, ار ياللا","As soon as his mother left, he began to cry."
